Product Name,Region,Ship Mode,Current Factory,Recommended Factory,Current Lead Time,Recommended Lead Time,Lead_Time_Reduction_%,Order_Volume,Avg_Profit_Margin,Risk,Action
Kazookles,Gulf,First Class,The Other Factory,The Other Factory,2.01,2.01,0.0,4,0.077,Low,Keep
Lickable Wallpaper,Interior,Standard Class,Secret Factory,Secret Factory,6.17,6.17,0.0,1,0.5,Low,Keep
Wonka Bar - Milk Chocolate,Interior,Second Class,Wicked Choccy's,Wicked Choccy's,4.04,4.04,0.0,96,0.649,Low,Keep
Wonka Bar - Milk Chocolate,Gulf,Same Day,Wicked Choccy's,Wicked Choccy's,0.51,0.51,0.0,15,0.649,Low,Keep
Wonka Bar - Milk Chocolate,Atlantic,First Class,Wicked Choccy's,Wicked Choccy's,2.02,2.02,0.0,84,0.649,Low,Keep
Wonka Bar - Milk Chocolate,Atlantic,Second Class,Wicked Choccy's,Wicked Choccy's,4.07,4.07,0.0,105,0.649,Low,Keep
Wonka Bar - Milk Chocolate,Gulf,First Class,Wicked Choccy's,Wicked Choccy's,1.98,1.98,0.0,58,0.649,Low,Keep
Wonka Bar - Milk Chocolate,Gulf,Standard Class,Wicked Choccy's,Wicked Choccy's,6.13,6.13,0.0,191,0.649,Low,Keep
Wonka Bar - Milk Chocolate,Gulf,Second Class,Wicked Choccy's,Wicked Choccy's,3.82,3.82,0.0,68,0.649,Low,Keep
Wonka Bar - Fudge Mallows,Pacific,Standard Class,Lot's O' Nuts,Lot's O' Nuts,6.46,6.46,0.0,342,0.667,Low,Keep
Wonka Bar - Fudge Mallows,Pacific,First Class,Lot's O' Nuts,Lot's O' Nuts,2.11,2.11,0.0,74,0.667,Low,Keep
Wonka Bar - Fudge Mallows,Pacific,Same Day,Lot's O' Nuts,Lot's O' Nuts,0.74,0.74,0.0,30,0.667,Low,Keep
Wonka Bar - Fudge Mallows,Pacific,Second Class,Lot's O' Nuts,Lot's O' Nuts,4.11,4.11,0.0,121,0.667,Low,Keep
Kazookles,Interior,First Class,The Other Factory,The Other Factory,1.91,1.91,0.0,2,0.077,Low,Keep
Kazookles,Gulf,Standard Class,The Other Factory,The Other Factory,6.22,6.22,0.0,5,0.077,Low,Keep
Laffy Taffy,Interior,First Class,Sugar Shack,Sugar Shack,1.96,1.96,0.0,1,0.623,Low,Keep
Lickable Wallpaper,Atlantic,Second Class,Secret Factory,Secret Factory,4.18,4.18,0.0,1,0.5,Low,Keep
Wonka Bar - Nutty Crunch Surprise,Interior,Second Class,Lot's O' Nuts,Lot's O' Nuts,4.13,4.13,0.0,106,0.713,Low,Keep
Wonka Bar - Triple Dazzle Caramel,Atlantic,Second Class,Wicked Choccy's,Wicked Choccy's,4.06,4.06,0.0,122,0.653,Low,Keep
Wonka Bar - Triple Dazzle Caramel,Atlantic,First Class,Wicked Choccy's,Wicked Choccy's,2.14,2.14,0.0,87,0.653,Low,Keep
Wonka Bar - Triple Dazzle Caramel,Gulf,Same Day,Wicked Choccy's,Wicked Choccy's,0.43,0.43,0.0,15,0.653,Low,Keep
Wonka Bar - Triple Dazzle Caramel,Gulf,First Class,Wicked Choccy's,Wicked Choccy's,2.12,2.12,0.0,41,0.653,Low,Keep
Wonka Bar - Nutty Crunch Surprise,Pacific,First Class,Lot's O' Nuts,Lot's O' Nuts,2.11,2.11,0.0,112,0.713,Low,Keep
Wonka Bar - Nutty Crunch Surprise,Pacific,Same Day,Lot's O' Nuts,Lot's O' Nuts,0.69,0.69,0.0,30,0.713,Low,Keep
Wonka Bar - Nutty Crunch Surprise,Pacific,Second Class,Lot's O' Nuts,Lot's O' Nuts,4.09,4.09,0.0,92,0.713,Low,Keep
Wonka Bar - Nutty Crunch Surprise,Pacific,Standard Class,Lot's O' Nuts,Lot's O' Nuts,6.42,6.42,0.0,336,0.713,Low,Keep
Wonka Bar -Scrumdiddlyumptious,Pacific,Standard Class,Lot's O' Nuts,Lot's O' Nuts,6.43,6.43,0.0,371,0.694,Low,Keep
Wonka Bar -Scrumdiddlyumptious,Pacific,Second Class,Lot's O' Nuts,Lot's O' Nuts,3.93,3.93,0.0,144,0.694,Low,Keep
Wonka Bar -Scrumdiddlyumptious,Pacific,Same Day,Lot's O' Nuts,Lot's O' Nuts,0.62,0.62,0.0,43,0.694,Low,Keep
Wonka Bar -Scrumdiddlyumptious,Pacific,First Class,Lot's O' Nuts,Lot's O' Nuts,2.09,2.09,0.0,113,0.694,Low,Keep
Wonka Gum,Gulf,Second Class,Secret Factory,Secret Factory,3.87,3.87,0.0,9,0.52,Low,Keep
Wonka Gum,Atlantic,Standard Class,Secret Factory,Secret Factory,6.54,6.54,0.0,25,0.52,Low,Keep
Wonka Gum,Interior,Standard Class,Secret Factory,Secret Factory,5.76,5.76,0.0,14,0.52,Low,Keep
Wonka Gum,Interior,Same Day,Secret Factory,Secret Factory,0.42,0.42,0.0,2,0.52,Low,Keep
