Region,Product Name,Factory,avg_lead_time,order_count,avg_distance_km,avg_profit_margin,total_units,Cluster,Cluster_Label
Interior,Wonka Gum,Secret Factory,4.393103448275862,29,728.7644371220409,0.52,112,0,Fast & Efficient
Pacific,Fizzy Lifting Drinks,Sugar Shack,7.22,1,2041.8908374620464,0.6,3,2,Consistently Slow
Pacific,Hair Toffee,The Other Factory,5.17,2,2324.0385198423146,0.7777777777777778,10,2,Consistently Slow
Pacific,Kazookles,The Other Factory,5.007407407407407,27,2586.392214445372,0.0769230769230769,84,0,Fast & Efficient
Pacific,Laffy Taffy,Sugar Shack,6.3,1,1884.9991993084464,0.6231155778894473,1,2,Consistently Slow
Pacific,SweeTARTS,Sugar Shack,4.26,1,2338.179365369098,0.4666666666666666,4,0,Fast & Efficient
Pacific,Wonka Bar - Fudge Mallows,Lot's O' Nuts,5.096984126984126,567,1000.5613111658137,0.6666666666666666,2201,3,Above Average
Pacific,Wonka Bar - Milk Chocolate,Wicked Choccy's,5.59810606060606,660,3440.234634488284,0.6492307692307693,2622,1,Below Average
Pacific,Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,4.9663157894736845,570,985.15048902467,0.7134670487106017,2088,3,Above Average
Pacific,Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,5.559762611275965,674,3462.8511008453106,0.6533333333333333,2569,1,Below Average
Pacific,Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,4.84688524590164,671,979.382454426413,0.6944444444444444,2454,3,Above Average
Pacific,Wonka Gum,Secret Factory,4.589285714285714,28,2299.562511633401,0.52,77,0,Fast & Efficient
